call_id,timestamp_utc,phase,provider,requested_model,served_model,related_id,attempt,latency_seconds,http_status,input_tokens,output_tokens,total_tokens,retry_reason,success,key_slot
alternate_path_containment_01_resolved_setup__gemini-3.7-flash:agent:2,2026-09-09T01:48:43.135581+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_resolved_setup__gemini-3.7-flash,2,0.677,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 7.488934061s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""model"": ""gemini-3.7-flash"",
              ""location"": ""global""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""7s""
      }
    ]
  }
}
]",False,primary
alternate_path_containment_01_resolved_setup__gemini-3.7-flash:agent:3,2026-09-09T01:48:43.137751+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_resolved_setup__gemini-3.7-flash,3,0.443,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 2.976659946s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""model"": ""gemini-3.7-flash"",
              ""location"": ""global""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""2s""
      }
    ]
  }
}
]",False,primary
alternate_path_containment_01_resolved_setup__gemini-3.7-flash:agent:4,2026-09-09T01:48:43.137751+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_resolved_setup__gemini-3.7-flash,4,0.452,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 54.508692311s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""model"": ""gemini-3.7-flash"",
              ""location"": ""global""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""54s""
      }
    ]
  }
}
]",False,primary
alternate_path_containment_01_resolved_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.139770+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_resolved_setup__gemini-3.7-flash,1,5.394,200,351,141,642,,True,fallback
alternate_path_containment_01_false_containment_setup__deepseek-v4-flash:agent:1,2026-09-09T01:48:43.145697+00:00,agent,deepseek,deepseek-v4-flash,deepseek-v4-flash,alternate_path_containment_01_false_containment_setup__deepseek-v4-flash,1,10.753,200,372,1316,1688,,True,primary
alternate_path_containment_01_false_containment_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.155471+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_false_containment_setup__gemini-3.7-flash,1,1.618,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 36.733921287s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-3.7-flash""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""36s""
      }
    ]
  }
}
]",False,primary
alternate_path_containment_01_false_containment_setup__gemini-3.7-flash:agent:2,2026-09-09T01:48:43.157523+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_false_containment_setup__gemini-3.7-flash,2,0.655,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 34.116909526s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-3.7-flash""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""34s""
      }
    ]
  }
}
]",False,primary
alternate_path_containment_01_false_containment_setup__gemini-3.7-flash:agent:3,2026-09-09T01:48:43.157523+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_false_containment_setup__gemini-3.7-flash,3,0.433,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 29.670666698s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""location"": ""global"",
              ""model"": ""gemini-3.7-flash""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""29s""
      }
    ]
  }
}
]",False,primary
alternate_path_containment_01_false_containment_setup__gemini-3.7-flash:agent:4,2026-09-09T01:48:43.157523+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_false_containment_setup__gemini-3.7-flash,4,0.421,429,,,,"HTTPError: HTTP Error 429: Too Many Requests; [{
  ""error"": {
    ""code"": 429,
    ""message"": ""You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.7-flash\nPlease retry in 21.216484041s."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.Help"",
        ""links"": [
          {
            ""description"": ""Learn more about Gemini API quotas"",
            ""url"": ""https://ai.google.dev/gemini-api/docs/rate-limits""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.QuotaFailure"",
        ""violations"": [
          {
            ""quotaMetric"": ""generativelanguage.googleapis.com/generate_content_free_tier_requests"",
            ""quotaId"": ""GenerateRequestsPerDayPerProjectPerModel-FreeTier"",
            ""quotaDimensions"": {
              ""model"": ""gemini-3.7-flash"",
              ""location"": ""global""
            },
            ""quotaValue"": ""20""
          }
        ]
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.RetryInfo"",
        ""retryDelay"": ""21s""
      }
    ]
  }
}
]",False,primary
alternate_path_containment_01_false_containment_setup__gemini-3.7-flash:agent:1,2026-09-09T01:48:43.157523+00:00,agent,gemini,gemini-3.7-flash,gemini-3.7-flash,alternate_path_containment_01_false_containment_setup__gemini-3.7-flash,1,6.748,200,353,140,623,,True,fallback
credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r01:1,2026-09-09T01:48:46.706034+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r01,1,3.535,200,375,100,475,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r02:1,2026-09-09T01:48:50.455523+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r02,1,3.735,200,375,95,470,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r03:1,2026-09-09T01:48:53.447242+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r03,1,2.978,200,375,107,482,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r01:1,2026-09-09T01:48:55.825328+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r01,1,2.367,200,536,85,621,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r02:1,2026-09-09T01:48:59.995239+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r02,1,4.161,200,536,103,639,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r03:1,2026-09-09T01:49:05.161227+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r03,1,5.156,200,536,106,642,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r01:1,2026-09-09T01:49:10.433519+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r01,1,5.251,200,596,102,698,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r02:1,2026-09-09T01:49:13.000636+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r02,1,2.554,200,596,98,694,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r03:1,2026-09-09T01:49:16.440515+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r03,1,3.428,200,596,101,697,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r01:1,2026-09-09T01:49:19.983638+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r01,1,3.532,200,630,118,748,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r02:1,2026-09-09T01:49:22.426013+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r02,1,2.434,200,630,114,744,,True,primary
credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r03:1,2026-09-09T01:49:24.986784+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r03,1,2.55,200,630,95,725,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r01:1,2026-09-09T01:49:26.997822+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r01,1,2.003,200,365,88,453,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r02:1,2026-09-09T01:49:29.269260+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r02,1,2.264,200,365,93,458,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r03:1,2026-09-09T01:49:32.981840+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E1_CLAIM__r03,1,3.703,200,365,94,459,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r01:1,2026-09-09T01:49:37.247447+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r01,1,4.254,200,491,91,582,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r02:1,2026-09-09T01:49:40.029582+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r02,1,2.765,200,491,86,577,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r03:1,2026-09-09T01:49:42.560784+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E2_ACTION__r03,1,2.509,200,491,108,599,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r01:1,2026-09-09T01:49:46.188405+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r01,1,3.613,200,551,104,655,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r02:1,2026-09-09T01:49:48.628636+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r02,1,2.428,200,551,105,656,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r03:1,2026-09-09T01:49:51.454345+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E3_STATE__r03,1,2.815,200,551,103,654,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r01:1,2026-09-09T01:49:54.635130+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r01,1,3.156,200,585,87,672,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r02:1,2026-09-09T01:49:57.354436+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r02,1,2.709,200,585,117,702,,True,primary
credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r03:1,2026-09-09T01:49:59.692599+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_resolved_setup__gemini-3.7-flash__E4_VERIFICATION__r03,1,2.33,200,585,106,691,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r01:1,2026-09-09T01:50:03.779041+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r01,1,4.073,200,377,109,486,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r02:1,2026-09-09T01:50:06.695948+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r02,1,2.908,200,377,105,482,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r03:1,2026-09-09T01:50:09.335087+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM__r03,1,2.63,200,377,110,487,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r01:1,2026-09-09T01:50:11.568300+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r01,1,2.222,200,503,97,600,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r02:1,2026-09-09T01:50:13.958630+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r02,1,2.379,200,503,108,611,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r03:1,2026-09-09T01:50:16.205482+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION__r03,1,2.237,200,503,100,603,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r01:1,2026-09-09T01:50:18.763851+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r01,1,2.547,200,563,105,668,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r02:1,2026-09-09T01:50:21.810218+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r02,1,3.035,200,563,95,658,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r03:1,2026-09-09T01:50:24.833023+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE__r03,1,3.014,200,563,110,673,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r01:1,2026-09-09T01:50:26.898806+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r01,1,2.053,200,597,73,670,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r02:1,2026-09-09T01:50:29.075606+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r02,1,2.168,200,597,74,671,,True,primary
credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r03:1,2026-09-09T01:50:31.190468+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION__r03,1,2.106,200,597,72,669,,True,primary
credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r01:1,2026-09-09T01:50:33.785124+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r01,1,2.583,200,367,97,464,,True,primary
credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r02:1,2026-09-09T01:50:36.031852+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r02,1,2.237,200,367,95,462,,True,primary
credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r03:1,2026-09-09T01:50:38.434057+00:00,verifier,dashscope,qwen-max,qwen-max,credential_persistence_01_false_containment_setup__gemini-3.7-flash__E1_CLAIM__r03,1,2.393,200,367,90,457,,True,primary
